Sample,FunctionalGroup,JSD
IFCB1_2009_133_181551,Ciliate,
IFCB1_2009_133_181551,Diatom,
IFCB1_2009_133_181551,Dinoflagellata,
IFCB1_2009_133_181551,Flagellate,0.034297184097905185
IFCB1_2009_133_181551,Other,0.12027708479200858
IFCB1_2009_133_183845,Ciliate,
IFCB1_2009_133_183845,Diatom,
IFCB1_2009_133_183845,Dinoflagellata,
IFCB1_2009_133_183845,Flagellate,0.04441945713863894
IFCB1_2009_133_183845,Other,0.14591036294094645
IFCB1_2009_146_002131,Ciliate,
IFCB1_2009_146_002131,Diatom,0.6678963752480708
IFCB1_2009_146_002131,Dinoflagellata,
IFCB1_2009_146_002131,Flagellate,0.03338459379492733
IFCB1_2009_146_002131,Other,0.13640287996392592
IFCB1_2009_146_004445,Ciliate,
IFCB1_2009_146_004445,Diatom,0.6561907699718856
IFCB1_2009_146_004445,Dinoflagellata,
IFCB1_2009_146_004445,Flagellate,0.033608575102648613
IFCB1_2009_146_004445,Other,0.14063727811409965
IFCB1_2009_146_180320,Ciliate,
IFCB1_2009_146_180320,Diatom,0.7292553620891373
IFCB1_2009_146_180320,Dinoflagellata,
IFCB1_2009_146_180320,Flagellate,0.0391982936800298
IFCB1_2009_146_180320,Other,0.13520974751575363
IFCB1_2009_146_182634,Ciliate,
IFCB1_2009_146_182634,Diatom,0.6851757834195111
IFCB1_2009_146_182634,Dinoflagellata,
IFCB1_2009_146_182634,Flagellate,0.02471491710092335
IFCB1_2009_146_182634,Other,0.12874276339594268
IFCB1_2009_146_184947,Ciliate,
IFCB1_2009_146_184947,Diatom,0.6444059495305102
IFCB1_2009_146_184947,Dinoflagellata,
IFCB1_2009_146_184947,Flagellate,0.032368903277419765
IFCB1_2009_146_184947,Other,0.13977432908344778
IFCB1_2009_155_141455,Ciliate,
IFCB1_2009_155_141455,Diatom,0.6745021601972625
IFCB1_2009_155_141455,Dinoflagellata,
IFCB1_2009_155_141455,Flagellate,0.039439263248630715
IFCB1_2009_155_141455,Other,0.14224371024984453
IFCB1_2009_155_143810,Ciliate,
IFCB1_2009_155_143810,Diatom,0.5849988939441683
IFCB1_2009_155_143810,Dinoflagellata,
IFCB1_2009_155_143810,Flagellate,0.0391982936800298
IFCB1_2009_155_143810,Other,0.131896247762573
IFCB1_2009_155_150121,Ciliate,
IFCB1_2009_155_150121,Diatom,0.5790970048117143
IFCB1_2009_155_150121,Dinoflagellata,
IFCB1_2009_155_150121,Flagellate,0.04552037282442098
IFCB1_2009_155_150121,Other,0.14135516021630898
IFCB1_2009_158_002209,Ciliate,
IFCB1_2009_158_002209,Diatom,0.4962810463831041
IFCB1_2009_158_002209,Dinoflagellata,
IFCB1_2009_158_002209,Flagellate,0.035144568270044044
IFCB1_2009_158_002209,Other,0.14591036294094645
IFCB1_2009_158_004522,Ciliate,
IFCB1_2009_158_004522,Diatom,0.5141711245541327
IFCB1_2009_158_004522,Dinoflagellata,
IFCB1_2009_158_004522,Flagellate,0.03016509466245192
IFCB1_2009_158_004522,Other,0.14591036294094645
IFCB1_2009_158_180517,Ciliate,
IFCB1_2009_158_180517,Diatom,0.5001058143841213
IFCB1_2009_158_180517,Dinoflagellata,
IFCB1_2009_158_180517,Flagellate,0.03272565102207764
IFCB1_2009_158_180517,Other,0.13901279395775468
IFCB1_2009_158_182808,Ciliate,
IFCB1_2009_158_182808,Diatom,0.500887655104277
IFCB1_2009_158_182808,Dinoflagellata,0.2962195311484815
IFCB1_2009_158_182808,Flagellate,0.03283008438009755
IFCB1_2009_158_182808,Other,0.13898569662295812
IFCB1_2009_158_185124,Ciliate,
IFCB1_2009_158_185124,Diatom,0.49944702513772016
IFCB1_2009_158_185124,Dinoflagellata,
IFCB1_2009_158_185124,Flagellate,0.03660870604962376
IFCB1_2009_158_185124,Other,0.14591036294094645
IFCB1_2009_172_000431,Ciliate,
IFCB1_2009_172_000431,Diatom,0.5131534187707693
IFCB1_2009_172_000431,Dinoflagellata,0.29646682048316614
IFCB1_2009_172_000431,Flagellate,0.033171773841007446
IFCB1_2009_172_000431,Other,0.12975101536250322
IFCB1_2009_172_002825,Ciliate,
IFCB1_2009_172_002825,Diatom,0.5287082783375576
IFCB1_2009_172_002825,Dinoflagellata,0.34686264472205225
IFCB1_2009_172_002825,Flagellate,0.031013594189939014
IFCB1_2009_172_002825,Other,0.14591036294094645
IFCB1_2009_172_005054,Ciliate,
IFCB1_2009_172_005054,Diatom,0.5310156374504288
IFCB1_2009_172_005054,Dinoflagellata,
IFCB1_2009_172_005054,Flagellate,0.036742048669363016
IFCB1_2009_172_005054,Other,0.13844460631087685
IFCB1_2009_187_233730,Ciliate,
IFCB1_2009_187_233730,Diatom,0.639033503863621
IFCB1_2009_187_233730,Dinoflagellata,0.23069567873581556
IFCB1_2009_187_233730,Flagellate,0.03386613556037665
IFCB1_2009_187_233730,Other,0.11569594556888799
IFCB1_2009_187_235946,Ciliate,
IFCB1_2009_187_235946,Diatom,0.6649216889470059
IFCB1_2009_187_235946,Dinoflagellata,0.2729390280499247
IFCB1_2009_187_235946,Flagellate,0.0416687752544678
IFCB1_2009_187_235946,Other,0.11476047549539845
IFCB1_2009_188_002300,Ciliate,
IFCB1_2009_188_002300,Diatom,0.6522569549169688
IFCB1_2009_188_002300,Dinoflagellata,0.2394896560813254
IFCB1_2009_188_002300,Flagellate,0.03398348435740318
IFCB1_2009_188_002300,Other,0.10265212706264595
IFCB1_2009_189_001612,Ciliate,
IFCB1_2009_189_001612,Diatom,0.5687130851276226
IFCB1_2009_189_001612,Dinoflagellata,0.253213801911377
IFCB1_2009_189_001612,Flagellate,0.0391982936800298
IFCB1_2009_189_001612,Other,0.10267830927219389
IFCB1_2009_189_004000,Ciliate,
IFCB1_2009_189_004000,Diatom,0.5647209644419259
IFCB1_2009_189_004000,Dinoflagellata,
IFCB1_2009_189_004000,Flagellate,0.0391982936800298
IFCB1_2009_189_004000,Other,0.10298077130935133
IFCB1_2009_189_182114,Ciliate,
IFCB1_2009_189_182114,Diatom,0.6512231222552265
IFCB1_2009_189_182114,Dinoflagellata,0.2628541927274164
IFCB1_2009_189_182114,Flagellate,0.03341402221394946
IFCB1_2009_189_182114,Other,0.14591036294094645
IFCB1_2009_189_184429,Ciliate,
IFCB1_2009_189_184429,Diatom,0.624479973598597
IFCB1_2009_189_184429,Dinoflagellata,0.260079925250317
IFCB1_2009_189_184429,Flagellate,0.0391982936800298
IFCB1_2009_189_184429,Other,0.12991352292541547
IFCB1_2009_195_210249,Ciliate,
IFCB1_2009_195_210249,Diatom,0.5541079550404184
IFCB1_2009_195_210249,Dinoflagellata,0.23557360169103017
IFCB1_2009_195_210249,Flagellate,0.034121130489976725
IFCB1_2009_195_210249,Other,0.094292037898901
IFCB1_2009_195_212603,Ciliate,
IFCB1_2009_195_212603,Diatom,0.5276046069888681
IFCB1_2009_195_212603,Dinoflagellata,0.23188046191546013
IFCB1_2009_195_212603,Flagellate,0.0391982936800298
IFCB1_2009_195_212603,Other,0.07912651508976211
IFCB1_2009_195_214914,Ciliate,
IFCB1_2009_195_214914,Diatom,0.5660078525759027
IFCB1_2009_195_214914,Dinoflagellata,0.2409617053514875
IFCB1_2009_195_214914,Flagellate,0.037011045807197135
IFCB1_2009_195_214914,Other,0.13545232835005364
IFCB1_2009_206_000452,Ciliate,
IFCB1_2009_206_000452,Diatom,0.3588513448001274
IFCB1_2009_206_000452,Dinoflagellata,0.24424181088088012
IFCB1_2009_206_000452,Flagellate,0.03604899739380341
IFCB1_2009_206_000452,Other,0.1001865761932929
IFCB1_2009_206_002109,Ciliate,
IFCB1_2009_206_002109,Diatom,0.41050245038385325
IFCB1_2009_206_002109,Dinoflagellata,
IFCB1_2009_206_002109,Flagellate,0.03154359408792832
IFCB1_2009_206_002109,Other,0.1849528780263363
IFCB1_2009_206_002806,Ciliate,
IFCB1_2009_206_002806,Diatom,0.367193607706468
IFCB1_2009_206_002806,Dinoflagellata,
IFCB1_2009_206_002806,Flagellate,0.0391982936800298
IFCB1_2009_206_002806,Other,0.12536630342040966
IFCB1_2009_206_004500,Ciliate,
IFCB1_2009_206_004500,Diatom,0.41270438826596506
IFCB1_2009_206_004500,Dinoflagellata,
IFCB1_2009_206_004500,Flagellate,0.0391982936800298
IFCB1_2009_206_004500,Other,0.17500366518751115
IFCB1_2009_206_005118,Ciliate,
IFCB1_2009_206_005118,Diatom,0.37673907788526256
IFCB1_2009_206_005118,Dinoflagellata,
IFCB1_2009_206_005118,Flagellate,0.0391982936800298
