Sample,FunctionalGroup,JSD
IFCB1_2009_158_185124,Diatom,0.4955761114426886
IFCB1_2009_158_185124,Dinoflagellata,
IFCB1_2009_158_185124,Flagellate,0.027535168334038462
IFCB1_2009_158_185124,Other,0.14591036294094645
IFCB1_2009_172_000431,Ciliate,
IFCB1_2009_172_000431,Diatom,0.5122173283427904
IFCB1_2009_172_000431,Dinoflagellata,0.2676083555886451
IFCB1_2009_172_000431,Flagellate,0.029632072017568973
IFCB1_2009_172_000431,Other,0.12243497712520456
IFCB1_2009_172_002825,Ciliate,
IFCB1_2009_172_002825,Diatom,0.5275870277688864
IFCB1_2009_172_002825,Dinoflagellata,0.2676083555886451
IFCB1_2009_172_002825,Flagellate,0.027196775153371284
IFCB1_2009_172_002825,Other,0.14591036294094645
IFCB1_2009_172_005054,Ciliate,
IFCB1_2009_172_005054,Diatom,0.5301621379404428
IFCB1_2009_172_005054,Dinoflagellata,
IFCB1_2009_172_005054,Flagellate,0.033580876208239505
IFCB1_2009_172_005054,Other,0.1278852117768372
IFCB1_2009_187_233730,Ciliate,
IFCB1_2009_187_233730,Diatom,0.6368890730273901
IFCB1_2009_187_233730,Dinoflagellata,0.22130090395357893
IFCB1_2009_187_233730,Flagellate,0.033758551162757416
IFCB1_2009_187_233730,Other,0.09527067535527582
IFCB1_2009_187_235946,Ciliate,
IFCB1_2009_187_235946,Diatom,0.6631562620728246
IFCB1_2009_187_235946,Dinoflagellata,0.2676083555886451
IFCB1_2009_187_235946,Flagellate,0.04162093494510101
IFCB1_2009_187_235946,Other,0.09378792329619277
IFCB1_2009_188_002300,Ciliate,
IFCB1_2009_188_002300,Diatom,0.6507494743484702
IFCB1_2009_188_002300,Dinoflagellata,0.2181730318408279
IFCB1_2009_188_002300,Flagellate,0.03374089189017047
IFCB1_2009_188_002300,Other,0.0915853997654961
IFCB1_2009_189_001612,Ciliate,
IFCB1_2009_189_001612,Diatom,0.5669799018338668
IFCB1_2009_189_001612,Dinoflagellata,0.22648595731876964
IFCB1_2009_189_001612,Flagellate,0.036251013390100235
IFCB1_2009_189_001612,Other,0.08511124826796437
IFCB1_2009_189_004000,Ciliate,
IFCB1_2009_189_004000,Diatom,0.5633986937129722
IFCB1_2009_189_004000,Dinoflagellata,
IFCB1_2009_189_004000,Flagellate,0.036251013390100235
IFCB1_2009_189_004000,Other,0.10298077130935133
IFCB1_2009_189_182114,Ciliate,
IFCB1_2009_189_182114,Diatom,0.6486705013116978
IFCB1_2009_189_182114,Dinoflagellata,0.2203655749177518
IFCB1_2009_189_182114,Flagellate,0.029902924280802188
IFCB1_2009_189_182114,Other,0.14591036294094645
IFCB1_2009_189_184429,Ciliate,
IFCB1_2009_189_184429,Diatom,0.6221928107332868
IFCB1_2009_189_184429,Dinoflagellata,0.25233787895748344
IFCB1_2009_189_184429,Flagellate,0.036251013390100235
IFCB1_2009_189_184429,Other,0.11819055572156967
IFCB1_2009_195_210249,Ciliate,
IFCB1_2009_195_210249,Diatom,0.5518373579496482
IFCB1_2009_195_210249,Dinoflagellata,0.2073806453982524
IFCB1_2009_195_210249,Flagellate,0.03356858517109185
IFCB1_2009_195_210249,Other,0.05070917050746233
IFCB1_2009_195_212603,Ciliate,
IFCB1_2009_195_212603,Diatom,0.5248730567014989
IFCB1_2009_195_212603,Dinoflagellata,0.18956737386725403
IFCB1_2009_195_212603,Flagellate,0.036251013390100235
IFCB1_2009_195_212603,Other,0.06305281155576337
IFCB1_2009_195_214914,Ciliate,
IFCB1_2009_195_214914,Diatom,0.5639618831735652
IFCB1_2009_195_214914,Dinoflagellata,0.21347702511299183
IFCB1_2009_195_214914,Flagellate,0.03387544032407329
IFCB1_2009_195_214914,Other,0.11729425067795156
IFCB1_2009_206_000452,Ciliate,
IFCB1_2009_206_000452,Diatom,0.3543807013857422
IFCB1_2009_206_000452,Dinoflagellata,0.21853992453508791
IFCB1_2009_206_000452,Flagellate,0.03282056023629884
IFCB1_2009_206_000452,Other,0.07332134612147613
IFCB1_2009_206_002109,Ciliate,
IFCB1_2009_206_002109,Diatom,0.4071367620625258
IFCB1_2009_206_002109,Dinoflagellata,
IFCB1_2009_206_002109,Flagellate,0.027798304009880426
IFCB1_2009_206_002109,Other,0.15801902371502224
IFCB1_2009_206_002806,Ciliate,
IFCB1_2009_206_002806,Diatom,0.3636924318887699
IFCB1_2009_206_002806,Dinoflagellata,
IFCB1_2009_206_002806,Flagellate,0.036251013390100235
IFCB1_2009_206_002806,Other,0.08449649059209796
IFCB1_2009_206_004500,Ciliate,
IFCB1_2009_206_004500,Diatom,0.41012271037518666
IFCB1_2009_206_004500,Dinoflagellata,
IFCB1_2009_206_004500,Flagellate,0.036251013390100235
IFCB1_2009_206_004500,Other,0.17500366518751115
IFCB1_2009_206_005118,Ciliate,
IFCB1_2009_206_005118,Diatom,0.37245349014959417
IFCB1_2009_206_005118,Dinoflagellata,
IFCB1_2009_206_005118,Flagellate,0.036251013390100235
IFCB1_2009_206_005118,Other,0.10214742318489377
IFCB1_2009_211_153356,Ciliate,
IFCB1_2009_211_153356,Diatom,0.3973928175588376
IFCB1_2009_211_153356,Dinoflagellata,0.15508380922201156
IFCB1_2009_211_153356,Flagellate,0.02499361882156522
IFCB1_2009_211_153356,Other,0.0825756281735886
IFCB1_2009_211_155256,Ciliate,
IFCB1_2009_211_155256,Diatom,0.444489805952087
IFCB1_2009_211_155256,Dinoflagellata,
IFCB1_2009_211_155256,Flagellate,0.036251013390100235
IFCB1_2009_211_155256,Other,
IFCB1_2009_211_155709,Ciliate,
IFCB1_2009_211_155709,Diatom,0.4084178964958049
IFCB1_2009_211_155709,Dinoflagellata,0.1976908698229271
IFCB1_2009_211_155709,Flagellate,0.030482598438955316
IFCB1_2009_211_155709,Other,0.1043119334460958
IFCB1_2009_211_161515,Ciliate,
IFCB1_2009_211_161515,Diatom,0.42527656839950173
IFCB1_2009_211_161515,Dinoflagellata,
IFCB1_2009_211_161515,Flagellate,0.036251013390100235
IFCB1_2009_211_161515,Other,0.14591036294094645
IFCB1_2009_211_162022,Ciliate,
IFCB1_2009_211_162022,Diatom,0.41877547129185444
IFCB1_2009_211_162022,Dinoflagellata,0.2379816964173552
IFCB1_2009_211_162022,Flagellate,0.03195682130825834
IFCB1_2009_211_162022,Other,0.06503515346588827
IFCB1_2009_211_163909,Ciliate,
IFCB1_2009_211_163909,Diatom,0.42293604881915176
IFCB1_2009_211_163909,Dinoflagellata,
IFCB1_2009_211_163909,Flagellate,0.036251013390100235
IFCB1_2009_211_163909,Other,
IFCB1_2009_215_000240,Ciliate,
IFCB1_2009_215_000240,Diatom,0.3935008666510928
IFCB1_2009_215_000240,Dinoflagellata,
IFCB1_2009_215_000240,Flagellate,0.036251013390100235
IFCB1_2009_215_000240,Other,0.04279815155396519
IFCB1_2009_215_002526,Ciliate,
IFCB1_2009_215_002526,Diatom,0.40615785090744116
IFCB1_2009_215_002526,Dinoflagellata,0.1696882091862021
IFCB1_2009_215_002526,Flagellate,0.036251013390100235
IFCB1_2009_215_002526,Other,0.13472601137081822
IFCB1_2009_215_004836,Ciliate,
IFCB1_2009_215_004836,Diatom,0.454374278084276
IFCB1_2009_215_004836,Dinoflagellata,
IFCB1_2009_215_004836,Flagellate,0.036251013390100235
IFCB1_2009_215_004836,Other,0.14591036294094645
IFCB1_2009_224_161052,Ciliate,
IFCB1_2009_224_161052,Diatom,0.5503037426446657
